class_id,class_coverage,support_count,model_name,method
0,1.0,1216,AlexNet,SplitConformal
1,1.0,704,AlexNet,SplitConformal
2,0.8869257950530035,283,AlexNet,SplitConformal
3,0.9641025641025641,1365,AlexNet,SplitConformal
4,0.9679245283018868,1590,AlexNet,SplitConformal
5,0.8895184135977338,1059,AlexNet,SplitConformal
6,0.77,200,AlexNet,SplitConformal
7,0.8875,320,AlexNet,SplitConformal
0,0.9481907894736842,1216,AlexNet,ClassConditionalConformal
1,0.9985795454545454,704,AlexNet,ClassConditionalConformal
2,0.9752650176678446,283,AlexNet,ClassConditionalConformal
3,0.9443223443223443,1365,AlexNet,ClassConditionalConformal
4,0.9452830188679245,1590,AlexNet,ClassConditionalConformal
5,0.9480642115203022,1059,AlexNet,ClassConditionalConformal
6,0.985,200,AlexNet,ClassConditionalConformal
7,0.959375,320,AlexNet,ClassConditionalConformal
0,0.9539473684210527,1216,AlexNet,RC3P
1,0.9985795454545454,704,AlexNet,RC3P
2,0.9752650176678446,283,AlexNet,RC3P
3,0.9509157509157509,1365,AlexNet,RC3P
4,0.9553459119496855,1590,AlexNet,RC3P
5,0.9546742209631728,1059,AlexNet,RC3P
6,0.99,200,AlexNet,RC3P
7,0.959375,320,AlexNet,RC3P
0,0.9481907894736842,1216,AlexNet,ClusteredConformal
1,0.9985795454545454,704,AlexNet,ClusteredConformal
2,0.9363957597173145,283,AlexNet,ClusteredConformal
3,0.9692307692307692,1365,AlexNet,ClusteredConformal
4,0.9716981132075472,1590,AlexNet,ClusteredConformal
5,0.9480642115203022,1059,AlexNet,ClusteredConformal
6,0.825,200,AlexNet,ClusteredConformal
7,0.909375,320,AlexNet,ClusteredConformal
0,1.0,1216,AlexNet,RAPS
1,1.0,704,AlexNet,RAPS
2,1.0,283,AlexNet,RAPS
3,1.0,1365,AlexNet,RAPS
4,1.0,1590,AlexNet,RAPS
5,1.0,1059,AlexNet,RAPS
6,1.0,200,AlexNet,RAPS
7,1.0,320,AlexNet,RAPS
0,0.9161184210526315,1216,GFNet,SplitConformal
1,0.9985795454545454,704,GFNet,SplitConformal
2,0.7526501766784452,283,GFNet,SplitConformal
3,0.9728937728937729,1365,GFNet,SplitConformal
4,0.9773584905660377,1590,GFNet,SplitConformal
5,0.9490084985835694,1059,GFNet,SplitConformal
6,0.93,200,GFNet,SplitConformal
7,0.940625,320,GFNet,SplitConformal
0,0.9449013157894737,1216,GFNet,ClassConditionalConformal
1,0.9588068181818182,704,GFNet,ClassConditionalConformal
2,0.9646643109540636,283,GFNet,ClassConditionalConformal
3,0.9443223443223443,1365,GFNet,ClassConditionalConformal
4,0.9534591194968554,1590,GFNet,ClassConditionalConformal
5,0.9716713881019831,1059,GFNet,ClassConditionalConformal
6,0.92,200,GFNet,ClassConditionalConformal
7,0.928125,320,GFNet,ClassConditionalConformal
0,0.946546052631579,1216,GFNet,RC3P
1,0.9630681818181818,704,GFNet,RC3P
2,0.9717314487632509,283,GFNet,RC3P
3,0.9457875457875458,1365,GFNet,RC3P
4,0.9572327044025157,1590,GFNet,RC3P
5,0.9716713881019831,1059,GFNet,RC3P
6,0.92,200,GFNet,RC3P
7,0.95625,320,GFNet,RC3P
0,0.9827302631578947,1216,GFNet,ClusteredConformal
1,0.9971590909090909,704,GFNet,ClusteredConformal
2,0.8127208480565371,283,GFNet,ClusteredConformal
3,0.9194139194139194,1365,GFNet,ClusteredConformal
4,0.9572327044025157,1590,GFNet,ClusteredConformal
5,0.9707271010387157,1059,GFNet,ClusteredConformal
6,0.94,200,GFNet,ClusteredConformal
7,0.928125,320,GFNet,ClusteredConformal
0,1.0,1216,GFNet,RAPS
1,1.0,704,GFNet,RAPS
2,1.0,283,GFNet,RAPS
3,1.0,1365,GFNet,RAPS
4,1.0,1590,GFNet,RAPS
5,1.0,1059,GFNet,RAPS
6,0.995,200,GFNet,RAPS
7,1.0,320,GFNet,RAPS
0,0.9983552631578947,1216,ViT,SplitConformal
1,1.0,704,ViT,SplitConformal
2,0.9293286219081273,283,ViT,SplitConformal
3,0.9194139194139194,1365,ViT,SplitConformal
4,0.9534591194968554,1590,ViT,SplitConformal
5,0.939565627950897,1059,ViT,SplitConformal
6,0.765,200,ViT,SplitConformal
7,0.890625,320,ViT,SplitConformal
0,0.9605263157894737,1216,ViT,ClassConditionalConformal
1,0.9801136363636364,704,ViT,ClassConditionalConformal
2,0.9328621908127208,283,ViT,ClassConditionalConformal
3,0.9340659340659341,1365,ViT,ClassConditionalConformal
4,0.9421383647798742,1590,ViT,ClassConditionalConformal
5,0.95561850802644,1059,ViT,ClassConditionalConformal
6,0.94,200,ViT,ClassConditionalConformal
7,0.946875,320,ViT,ClassConditionalConformal
0,0.962171052631579,1216,ViT,RC3P
1,0.9801136363636364,704,ViT,RC3P
2,0.9469964664310954,283,ViT,RC3P
3,0.9355311355311355,1365,ViT,RC3P
4,0.9477987421383648,1590,ViT,RC3P
5,0.9612842304060434,1059,ViT,RC3P
6,0.94,200,ViT,RC3P
7,0.95625,320,ViT,RC3P
0,0.9975328947368421,1216,ViT,ClusteredConformal
1,1.0,704,ViT,ClusteredConformal
2,0.9328621908127208,283,ViT,ClusteredConformal
3,0.8974358974358975,1365,ViT,ClusteredConformal
4,0.9440251572327044,1590,ViT,ClusteredConformal
5,0.9178470254957507,1059,ViT,ClusteredConformal
6,0.94,200,ViT,ClusteredConformal
7,0.946875,320,ViT,ClusteredConformal
0,0.9991776315789473,1216,ViT,RAPS
1,1.0,704,ViT,RAPS
2,1.0,283,ViT,RAPS
3,0.9970695970695971,1365,ViT,RAPS
4,1.0,1590,ViT,RAPS
5,1.0,1059,ViT,RAPS
6,1.0,200,ViT,RAPS
7,1.0,320,ViT,RAPS
