model,capacity_tag,test_accuracy,kappa,macro_f1,weighted_f1,val_nll,test_nll,val_brier,test_brier,test_ece_15bin,epochs_configured,epochs_ran,train_time_sec,best_model_path,final_model_path
GFNet_ens_2,legacy_arch,1.0,1.0,1.0,1.0,0.008650941411156436,0.008394689763386073,0.0003470874198973904,0.00016413560970697484,0.008325216172798567,100,100,1091.3922517279998,/kaggle/working/results/models/ensembles/GFNet_ens_2_final.keras,/kaggle/working/results/models/ensembles/GFNet_ens_2_final.keras
GFNet_ens_1,legacy_arch,1.0,1.0,1.0,1.0,0.007782886691788137,0.007580193458155463,0.00022485345195341052,8.675982552089211e-05,0.007542962872771458,100,100,1093.302967228,/kaggle/working/results/models/GFNet_best.keras,/kaggle/working/results/models/ensembles/GFNet_ens_1_final.keras
GFNet_ens_3,legacy_arch,1.0,1.0,1.0,1.0,0.007835681029395622,0.00770890638266266,0.00015427664263396678,9.220673557648059e-05,0.007669471749499234,100,100,1095.5028445569988,/kaggle/working/results/models/ensembles/GFNet_ens_3_final.keras,/kaggle/working/results/models/ensembles/GFNet_ens_3_final.keras
GFNet_ens_4,legacy_arch,1.0,1.0,1.0,1.0,0.008375646065942278,0.008268151222375824,0.00011287869605898921,8.793159663540437e-05,0.008229851138791716,100,100,1098.8232494029999,/kaggle/working/results/models/ensembles/GFNet_ens_4_final.keras,/kaggle/working/results/models/ensembles/GFNet_ens_4_final.keras
GFNet_ens_5,legacy_arch,1.0,1.0,1.0,1.0,0.008144904275139767,0.007577851225909456,0.00037955447040471246,8.569458569951265e-05,0.007541808385567299,100,100,1096.1566321030004,/kaggle/working/results/models/ensembles/GFNet_ens_5_final.keras,/kaggle/working/results/models/ensembles/GFNet_ens_5_final.keras
ViT_UNet_ens_1,legacy_arch,0.9997031319578448,0.9996423935968177,0.9993130507511258,0.9997032255305212,0.04125208399317739,0.04038559127744248,0.0026588554415351317,0.0022089245494705512,0.038699414931083975,100,100,2127.257505900001,/kaggle/working/results/models/ViT_UNet_best.keras,/kaggle/working/results/models/ensembles/ViT_UNet_ens_1_final.keras
ViT_UNet_ens_4,legacy_arch,0.9997031319578448,0.9996424018799352,0.999287299739852,0.9997033045823546,0.040882048437208815,0.03983519771741158,0.002633379651110601,0.002130986443866403,0.0381665819871845,100,100,2151.865034081002,/kaggle/working/results/models/ensembles/ViT_UNet_ens_4_final.keras,/kaggle/working/results/models/ensembles/ViT_UNet_ens_4_final.keras
ViT_UNet_ens_5,legacy_arch,0.9996289149473059,0.9995529894957109,0.9991476463830495,0.9996289400050211,0.042936784080404175,0.0409576964078693,0.0034046686526971017,0.002444263189115926,0.03892784227386362,100,100,2149.094057154998,/kaggle/working/results/models/ensembles/ViT_UNet_ens_5_final.keras,/kaggle/working/results/models/ensembles/ViT_UNet_ens_5_final.keras
ViT_UNet_ens_3,legacy_arch,0.9996289149473059,0.9995529860759044,0.9989782885709497,0.9996290651977676,0.04151233752284096,0.04109393863130706,0.002767361698916364,0.0024408674943176495,0.03868930220727806,100,100,2108.2808553079976,/kaggle/working/results/models/ensembles/ViT_UNet_ens_3_final.keras,/kaggle/working/results/models/ensembles/ViT_UNet_ens_3_final.keras
AlexNet_CNN_ens_3,legacy_arch,0.9994804809262283,0.9993741415954641,0.9988388569382961,0.9994798515712402,0.0025376154609043646,0.0025376154609043646,0.0007780503567997554,0.0007780503567997554,0.00025354179789939654,100,100,1067.531324263,/kaggle/working/results/models/ensembles/AlexNet_CNN_ens_3_final.keras,/kaggle/working/results/models/ensembles/AlexNet_CNN_ens_3_final.keras
ViT_UNet_ens_2,legacy_arch,0.9994062639156894,0.9992847664645924,0.9985633253467591,0.9994064198749861,0.04356254463611605,0.04152917083272156,0.003853330990829368,0.002736550655265285,0.038360946907812395,100,100,2130.1647957269997,/kaggle/working/results/models/ensembles/ViT_UNet_ens_2_final.keras,/kaggle/working/results/models/ensembles/ViT_UNet_ens_2_final.keras
AlexNet_CNN_ens_5,legacy_arch,0.9993320469051507,0.9991953279840045,0.9989412971389648,0.9993317721236556,0.0022415306676375002,0.0022415306676375002,0.0010475338113041146,0.0010475338113041146,0.00046385921558888605,100,100,1071.6476408859999,/kaggle/working/results/models/ensembles/AlexNet_CNN_ens_5_final.keras,/kaggle/working/results/models/ensembles/AlexNet_CNN_ens_5_final.keras
AlexNet_CNN_ens_1,legacy_arch,0.9989609618524565,0.9987483380657164,0.9980484258102253,0.9989604947263638,0.004822081824650907,0.004822081824650907,0.0018765840682375234,0.0018765840682375234,0.00038955023456118803,100,100,1085.3566581199998,/kaggle/working/results/models/AlexNet_CNN_best.keras,/kaggle/working/results/models/ensembles/AlexNet_CNN_ens_1_final.keras
AlexNet_CNN_ens_4,legacy_arch,0.9968086685468309,0.9961553150730917,0.9947741655752209,0.9968055596174699,0.01159683983002684,0.01159683983002684,0.005574999536239272,0.005574999536239272,0.0012410734126948985,100,100,1071.6318536030003,/kaggle/working/results/models/ensembles/AlexNet_CNN_ens_4_final.keras,/kaggle/working/results/models/ensembles/AlexNet_CNN_ens_4_final.keras
AlexNet_CNN_ens_2,legacy_arch,0.9960664984414428,0.9952610255039888,0.9907099898333486,0.9960603671533084,0.013130652896216117,0.013130652896216117,0.006438098751476688,0.006438098751476688,0.001688033413140307,100,100,1069.520384081,/kaggle/working/results/models/ensembles/AlexNet_CNN_ens_2_final.keras,/kaggle/working/results/models/ensembles/AlexNet_CNN_ens_2_final.keras
