class_id,class_coverage,support_count,model_name,scoring_method,window_size
0,0.696546052631579,1216,AlexNet,RAPS,3
1,0.7201704545454546,704,AlexNet,RAPS,3
2,0.7420494699646644,283,AlexNet,RAPS,3
3,0.7054945054945055,1365,AlexNet,RAPS,3
4,0.7062893081761006,1590,AlexNet,RAPS,3
5,0.7034938621340887,1059,AlexNet,RAPS,3
6,0.735,200,AlexNet,RAPS,3
7,0.671875,320,AlexNet,RAPS,3
0,0.7113486842105263,1216,AlexNet,SAPS,3
1,0.6889204545454546,704,AlexNet,SAPS,3
2,0.6713780918727915,283,AlexNet,SAPS,3
3,0.6959706959706959,1365,AlexNet,SAPS,3
4,0.6981132075471698,1590,AlexNet,SAPS,3
5,0.7072710103871577,1059,AlexNet,SAPS,3
6,0.755,200,AlexNet,SAPS,3
7,0.703125,320,AlexNet,SAPS,3
0,0.6702302631578947,1216,AlexNet,RAPS,5
1,0.6818181818181818,704,AlexNet,RAPS,5
2,0.6395759717314488,283,AlexNet,RAPS,5
3,0.6798534798534799,1365,AlexNet,RAPS,5
4,0.6911949685534591,1590,AlexNet,RAPS,5
5,0.6968838526912181,1059,AlexNet,RAPS,5
6,0.645,200,AlexNet,RAPS,5
7,0.684375,320,AlexNet,RAPS,5
0,0.709703947368421,1216,AlexNet,SAPS,5
1,0.7244318181818182,704,AlexNet,SAPS,5
2,0.6819787985865724,283,AlexNet,SAPS,5
3,0.6996336996336996,1365,AlexNet,SAPS,5
4,0.7213836477987421,1590,AlexNet,SAPS,5
5,0.6893295561850803,1059,AlexNet,SAPS,5
6,0.705,200,AlexNet,SAPS,5
7,0.675,320,AlexNet,SAPS,5
0,0.6735197368421053,1216,AlexNet,RAPS,7
1,0.6988636363636364,704,AlexNet,RAPS,7
2,0.6431095406360424,283,AlexNet,RAPS,7
3,0.6915750915750916,1365,AlexNet,RAPS,7
4,0.7075471698113207,1590,AlexNet,RAPS,7
5,0.7148253068932956,1059,AlexNet,RAPS,7
6,0.715,200,AlexNet,RAPS,7
7,0.7125,320,AlexNet,RAPS,7
0,0.7006578947368421,1216,AlexNet,SAPS,7
1,0.7116477272727273,704,AlexNet,SAPS,7
2,0.6643109540636042,283,AlexNet,SAPS,7
3,0.6857142857142857,1365,AlexNet,SAPS,7
4,0.6767295597484276,1590,AlexNet,SAPS,7
5,0.6836638338054769,1059,AlexNet,SAPS,7
6,0.685,200,AlexNet,SAPS,7
7,0.728125,320,AlexNet,SAPS,7
0,0.703125,1216,AlexNet,RAPS,9
1,0.6690340909090909,704,AlexNet,RAPS,9
2,0.696113074204947,283,AlexNet,RAPS,9
3,0.6820512820512821,1365,AlexNet,RAPS,9
4,0.6924528301886792,1590,AlexNet,RAPS,9
5,0.6968838526912181,1059,AlexNet,RAPS,9
6,0.705,200,AlexNet,RAPS,9
7,0.659375,320,AlexNet,RAPS,9
0,0.7072368421052632,1216,AlexNet,SAPS,9
1,0.6889204545454546,704,AlexNet,SAPS,9
2,0.6749116607773852,283,AlexNet,SAPS,9
3,0.6915750915750916,1365,AlexNet,SAPS,9
4,0.6930817610062893,1590,AlexNet,SAPS,9
5,0.7072710103871577,1059,AlexNet,SAPS,9
6,0.72,200,AlexNet,SAPS,9
7,0.678125,320,AlexNet,SAPS,9
