class_id,class_coverage,support_count,model_name,scoring_method,window_size
0,0.703125,1216,AlexNet,RAPS,9
1,0.6690340909090909,704,AlexNet,RAPS,9
2,0.696113074204947,283,AlexNet,RAPS,9
3,0.6820512820512821,1365,AlexNet,RAPS,9
4,0.6924528301886792,1590,AlexNet,RAPS,9
5,0.6968838526912181,1059,AlexNet,RAPS,9
6,0.705,200,AlexNet,RAPS,9
7,0.659375,320,AlexNet,RAPS,9
0,0.7072368421052632,1216,AlexNet,SAPS,9
1,0.6889204545454546,704,AlexNet,SAPS,9
2,0.6749116607773852,283,AlexNet,SAPS,9
3,0.6915750915750916,1365,AlexNet,SAPS,9
4,0.6930817610062893,1590,AlexNet,SAPS,9
5,0.7072710103871577,1059,AlexNet,SAPS,9
6,0.72,200,AlexNet,SAPS,9
7,0.678125,320,AlexNet,SAPS,9
