class_id,class_coverage,support_count,model_name,window_size
0,1.0,1216,AlexNet,5
1,1.0,704,AlexNet,5
2,1.0,283,AlexNet,5
3,1.0,1365,AlexNet,5
4,1.0,1590,AlexNet,5
5,1.0,1059,AlexNet,5
6,1.0,200,AlexNet,5
7,1.0,320,AlexNet,5
0,1.0,1216,GFNet,5
1,1.0,704,GFNet,5
2,1.0,283,GFNet,5
3,1.0,1365,GFNet,5
4,1.0,1590,GFNet,5
5,1.0,1059,GFNet,5
6,1.0,200,GFNet,5
7,1.0,320,GFNet,5
0,0.9991776315789473,1216,ViT,5
1,1.0,704,ViT,5
2,1.0,283,ViT,5
3,1.0,1365,ViT,5
4,1.0,1590,ViT,5
5,1.0,1059,ViT,5
6,1.0,200,ViT,5
7,1.0,320,ViT,5
