class_id,class_coverage,support_count,model_name,window_size
0,1.0,1216,AlexNet,9
1,1.0,704,AlexNet,9
2,1.0,283,AlexNet,9
3,1.0,1365,AlexNet,9
4,1.0,1590,AlexNet,9
5,1.0,1059,AlexNet,9
6,1.0,200,AlexNet,9
7,1.0,320,AlexNet,9
0,1.0,1216,GFNet,9
1,1.0,704,GFNet,9
2,1.0,283,GFNet,9
3,1.0,1365,GFNet,9
4,1.0,1590,GFNet,9
5,1.0,1059,GFNet,9
6,1.0,200,GFNet,9
7,1.0,320,GFNet,9
0,0.9991776315789473,1216,ViT,9
1,1.0,704,ViT,9
2,1.0,283,ViT,9
3,0.9992673992673993,1365,ViT,9
4,1.0,1590,ViT,9
5,1.0,1059,ViT,9
6,1.0,200,ViT,9
7,1.0,320,ViT,9
