class_id,class_coverage,support_count,model_name,window_size
0,1.0,1216,AlexNet,3
1,1.0,704,AlexNet,3
2,1.0,283,AlexNet,3
3,1.0,1365,AlexNet,3
4,1.0,1590,AlexNet,3
5,1.0,1059,AlexNet,3
6,1.0,200,AlexNet,3
7,1.0,320,AlexNet,3
0,1.0,1216,GFNet,3
1,1.0,704,GFNet,3
2,1.0,283,GFNet,3
3,1.0,1365,GFNet,3
4,1.0,1590,GFNet,3
5,1.0,1059,GFNet,3
6,0.995,200,GFNet,3
7,1.0,320,GFNet,3
0,0.9991776315789473,1216,ViT,3
1,1.0,704,ViT,3
2,1.0,283,ViT,3
3,1.0,1365,ViT,3
4,1.0,1590,ViT,3
5,1.0,1059,ViT,3
6,1.0,200,ViT,3
7,0.996875,320,ViT,3
0,1.0,1216,AlexNet,5
1,1.0,704,AlexNet,5
2,1.0,283,AlexNet,5
3,1.0,1365,AlexNet,5
4,1.0,1590,AlexNet,5
5,1.0,1059,AlexNet,5
6,1.0,200,AlexNet,5
7,1.0,320,AlexNet,5
0,1.0,1216,GFNet,5
1,1.0,704,GFNet,5
2,1.0,283,GFNet,5
3,1.0,1365,GFNet,5
4,1.0,1590,GFNet,5
5,1.0,1059,GFNet,5
6,1.0,200,GFNet,5
7,1.0,320,GFNet,5
0,0.9991776315789473,1216,ViT,5
1,1.0,704,ViT,5
2,1.0,283,ViT,5
3,1.0,1365,ViT,5
4,1.0,1590,ViT,5
5,1.0,1059,ViT,5
6,1.0,200,ViT,5
7,1.0,320,ViT,5
0,1.0,1216,AlexNet,7
1,1.0,704,AlexNet,7
2,1.0,283,AlexNet,7
3,0.9992673992673993,1365,AlexNet,7
4,1.0,1590,AlexNet,7
5,1.0,1059,AlexNet,7
6,1.0,200,AlexNet,7
7,1.0,320,AlexNet,7
0,1.0,1216,GFNet,7
1,1.0,704,GFNet,7
2,1.0,283,GFNet,7
3,1.0,1365,GFNet,7
4,1.0,1590,GFNet,7
5,1.0,1059,GFNet,7
6,1.0,200,GFNet,7
7,1.0,320,GFNet,7
0,0.9991776315789473,1216,ViT,7
1,1.0,704,ViT,7
2,1.0,283,ViT,7
3,0.9992673992673993,1365,ViT,7
4,1.0,1590,ViT,7
5,1.0,1059,ViT,7
6,1.0,200,ViT,7
7,1.0,320,ViT,7
0,1.0,1216,AlexNet,9
1,1.0,704,AlexNet,9
2,1.0,283,AlexNet,9
3,1.0,1365,AlexNet,9
4,1.0,1590,AlexNet,9
5,1.0,1059,AlexNet,9
6,1.0,200,AlexNet,9
7,1.0,320,AlexNet,9
0,1.0,1216,GFNet,9
1,1.0,704,GFNet,9
2,1.0,283,GFNet,9
3,1.0,1365,GFNet,9
4,1.0,1590,GFNet,9
5,1.0,1059,GFNet,9
6,1.0,200,GFNet,9
7,1.0,320,GFNet,9
0,0.9991776315789473,1216,ViT,9
1,1.0,704,ViT,9
2,1.0,283,ViT,9
3,0.9992673992673993,1365,ViT,9
4,1.0,1590,ViT,9
5,1.0,1059,ViT,9
6,1.0,200,ViT,9
7,1.0,320,ViT,9
