model_name,method,window_size,target_coverage,empirical_coverage,avg_set_size,median_set_size,singleton_rate,empty_set_rate,runtime_sec,alpha,lambda,k,q_hat,mean_per_class_coverage
AlexNet,SACP,3,0.95,1.0,1.0,1.0,1.0,0.0,86.82546559299999,0.05,0.5,1,0.8191998737144803,1.0
GFNet,SACP,3,0.95,0.9998515659789223,1.0,1.0,1.0,0.0,78.33244747100002,0.05,0.5,1,0.8121039356428945,0.999375
ViT,SACP,3,0.95,0.9997031319578448,1.0008906041264658,1.0,0.9991093958735342,0.0,101.57290908600004,0.05,0.5,1,0.7873951954622682,0.9995065789473685
AlexNet,SACP,5,0.95,1.0,1.0,1.0,1.0,0.0,91.48505534100002,0.05,0.5,1,0.7525093789130768,1.0
GFNet,SACP,5,0.95,1.0,1.0001484340210776,1.0,0.9998515659789223,0.0,83.24471749899999,0.05,0.5,1,0.7466955280717322,1.0
ViT,SACP,5,0.95,0.9998515659789223,1.0005937360843105,1.0,0.9994062639156894,0.0,98.66140499000005,0.05,0.5,1,0.7236750248453181,0.9998972039473684
AlexNet,SACP,7,0.95,0.9998515659789223,1.0,1.0,1.0,0.0,102.29047438500004,0.05,0.5,1,0.7369395892310799,0.9999084249084249
GFNet,SACP,7,0.95,1.0,1.0001484340210776,1.0,0.9998515659789223,0.0,95.348064604,0.05,0.5,1,0.7314997011004449,1.0
ViT,SACP,7,0.95,0.9997031319578448,1.000445302063233,1.0,0.9995546979367671,0.0,110.99624635899988,0.05,0.5,1,0.709130145265427,0.9998056288557933
AlexNet,SACP,9,0.95,1.0,1.0,1.0,1.0,0.0,121.45788869900002,0.05,0.5,1,0.7300799494272171,1.0
GFNet,SACP,9,0.95,1.0,1.0001484340210776,1.0,0.9998515659789223,0.0,109.66677884199999,0.05,0.5,1,0.7240996468119024,1.0
ViT,SACP,9,0.95,0.9997031319578448,1.000445302063233,1.0,0.9995546979367671,0.0,123.3020119150001,0.05,0.5,1,0.7020360983892772,0.9998056288557933
