class_id,class_coverage,support_count,model_name,window_size
0,1.0,1216,AlexNet,7
1,1.0,704,AlexNet,7
2,1.0,283,AlexNet,7
3,0.9992673992673993,1365,AlexNet,7
4,1.0,1590,AlexNet,7
5,1.0,1059,AlexNet,7
6,1.0,200,AlexNet,7
7,1.0,320,AlexNet,7
0,1.0,1216,GFNet,7
1,1.0,704,GFNet,7
2,1.0,283,GFNet,7
3,1.0,1365,GFNet,7
4,1.0,1590,GFNet,7
5,1.0,1059,GFNet,7
6,1.0,200,GFNet,7
7,1.0,320,GFNet,7
0,0.9991776315789473,1216,ViT,7
1,1.0,704,ViT,7
2,1.0,283,ViT,7
3,0.9992673992673993,1365,ViT,7
4,1.0,1590,ViT,7
5,1.0,1059,ViT,7
6,1.0,200,ViT,7
7,1.0,320,ViT,7
